0.0.1	automatic	software.amazon.smithy.java.codegen.plugins	client	2025-02-06T20:16:18Z	
0.0.2	automatic	software.amazon.smithy.java	client-codegen	2025-04-09T23:10:36Z	
0.0.3	automatic	software.amazon.smithy.java	client-codegen	2025-08-22T16:48:50Z	
