2.1.1	io.github.sganesh-code	functional-java	2.1.1
2.1.0	io.github.sganesh-code	functional-java	2.1.0
2.0.21	io.github.sganesh-code	functional-java	2.0.21
2.0.20	io.github.sganesh-code	functional-java	2.0.20
2.0.19	io.github.sganesh-code	functional-java	2.0.19
2.0.18	io.github.sganesh-code	functional-java	2.0.18
2.0.17	io.github.sganesh-code	functional-java	2.0.17
