org.apache.commons	allowed
ai.platon.gora	blocked
com.ascentstream.pulsar	blocked
com.cefriel	blocked
com.datastax.oss	blocked
com.equinor.neqsim	blocked
com.gitee.melin.huaweicloud	blocked
com.guicedee.services	blocked
com.io7m.montarre	blocked
com.iyhzy	blocked
com.jcabi	blocked
com.jkoolcloud.tnt4j.stream	blocked
com.jkoolcloud.tnt4j.streams	blocked
com.jwebmp	blocked
com.jwebmp.jpms.commons	blocked
com.jwebmp.jre11	blocked
com.kubling	blocked
com.liferay.portal	blocked
com.navercorp.pinpoint	blocked
com.nordstrom.ui-tools	blocked
com.signalfx.public	blocked
com.sngular	blocked
com.sqream	blocked
com.system32dev.systemplaceholders	blocked
com.ubs-hainer	blocked
com.vmlens	blocked
com.vonage	blocked
de.firemage.autograder	blocked
de.fraunhofer.iosb.ilt.faaast.service	blocked
de.gwdg.metadataqa	blocked
de.javatux.jfortune	blocked
de.knightsoft-net	blocked
de.sero-systems	blocked
dev.aulait.bt	blocked
dev.hcf.ball	blocked
edu.kit.kastel.sdq	blocked
fr.pilato.elasticsearch.injector	blocked
hu.webarticum.miniconnect	blocked
io.github.davidwhitlock.joy	blocked
io.github.fzuzhanghao	blocked
io.github.marquezproject	blocked
io.github.mitsumi-solutions-develop	blocked
io.github.mohmk10	blocked
io.github.novakov-alexey	blocked
io.github.openfeign.experimental	blocked
io.github.robinbraemer	blocked
io.github.rzo1.org.sweble.wikitext	blocked
io.github.shmilyjxs	blocked
io.github.thedisappearingdandelion	blocked
io.inverno.tool	blocked
io.jooby	blocked
io.kestra.plugin	blocked
io.openlineage	blocked
io.pushnode	blocked
io.reliza	blocked
io.spiffe	blocked
io.streamnative	blocked
io.swagger.parser.v3	blocked
io.valkey	blocked
io.zeebe.redis	blocked
lv.ailab.morphology	blocked
net.java.dev.activeobjects	blocked
net.serenity-bdd	blocked
net.xdob.directory.server	blocked
nl.basjes.parse.httpdlog	blocked
no.entur	blocked
org.apache.batchee	blocked
org.apache.dolphinscheduler	blocked
org.apache.druid.extensions	blocked
org.apache.flink	blocked
org.apache.fluss	blocked
org.apache.gravitino	blocked
org.apache.maven.scm	blocked
org.apache.paimon	blocked
org.apache.pinot	blocked
org.apache.pulsar	blocked
org.apache.seatunnel	blocked
org.apache.shenyu	blocked
org.apache.storm	blocked
org.apache.tomee	blocked
org.apache.zeppelin	blocked
org.bonitasoft.engine.data	blocked
org.dominokit	blocked
org.eclipse.jetty	blocked
org.finos.legend.sdlc	blocked
org.frankframework	blocked
org.ibissource	blocked
org.jboss.pnc.gradle-manipulator	blocked
org.kiwiproject	blocked
org.liquibase.io.ext	blocked
org.metricshub	blocked
org.opendaylight.bgpcep	blocked
org.opendaylight.controller	blocked
org.openidentityplatform.openam	blocked
org.openidentityplatform.openidm	blocked
org.openl.rules	blocked
org.patterntesting	blocked
org.polypheny	blocked
org.requs	blocked
org.sonarsource.java	blocked
org.sonarsource.php	blocked
org.tillerino.jagger	blocked
solutions.a2.kafka	blocked
uk.gov.justice.service.laa-crime	blocked
