0.8.5	named	io.spiffe	java-spiffe-helper	2024-02-15T20:18:27Z	3.14.0
2.2.2-rc2	named	io.valkey	valkey-glide	2025-12-10T20:36:02Z	3.20.0
2.2.2	named	io.valkey	valkey-glide	2025-12-11T00:21:15Z	3.20.0
