3.2.1	named	org.lwjgl.osgi	org.lwjgl.glfw	2018-12-22T15:34:32Z	
1.1	named	io.github.taqmuraz	nine	2024-06-15T08:04:57Z	3.3.2+13
1.2	named	io.github.taqmuraz	nine	2024-06-20T10:45:45Z	3.3.2+13
1.2.1	named	io.github.taqmuraz	nine	2024-06-21T14:03:25Z	3.3.2+13
1.2.2	named	io.github.taqmuraz	nine	2024-06-21T15:05:16Z	3.3.2+13
1.2.21	named	io.github.taqmuraz	nine	2024-07-04T17:04:12Z	3.3.2+13
