0.0.6			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/gitee/zjarlin/addzero-compose-klibs-component-wasm-js/0.0.6/addzero-compose-klibs-component-wasm-js-0.0.6.jar returned status 404
0.0.601			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/gitee/zjarlin/addzero-compose-klibs-component-wasm-js/0.0.601/addzero-compose-klibs-component-wasm-js-0.0.601.jar returned status 404
0.0.602			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/gitee/zjarlin/addzero-compose-klibs-component-wasm-js/0.0.602/addzero-compose-klibs-component-wasm-js-0.0.602.jar returned status 404
0.0.603			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/gitee/zjarlin/addzero-compose-klibs-component-wasm-js/0.0.603/addzero-compose-klibs-component-wasm-js-0.0.603.jar returned status 404
0.0.604			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/gitee/zjarlin/addzero-compose-klibs-component-wasm-js/0.0.604/addzero-compose-klibs-component-wasm-js-0.0.604.jar returned status 404
0.0.605			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/gitee/zjarlin/addzero-compose-klibs-component-wasm-js/0.0.605/addzero-compose-klibs-component-wasm-js-0.0.605.jar returned status 404
0.0.607			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/gitee/zjarlin/addzero-compose-klibs-component-wasm-js/0.0.607/addzero-compose-klibs-component-wasm-js-0.0.607.jar returned status 404
