2.0.2	com.jwebmp.plugins	sessionstorage	2.0.2
1.2.2.1-jre17	com.jwebmp.plugins.security	jwebmp-plugins-session-storage-security	1.2.2.1-jre17
1.2.2.1	com.jwebmp.plugins.security	jwebmp-plugins-session-storage-security	1.2.2.1
1.2.1.2-jre17	com.jwebmp.plugins.security	jwebmp-plugins-session-storage-security	1.2.1.2-jre17
1.2.1.1-jre17	com.jwebmp.plugins.security	jwebmp-plugins-session-storage-security	1.2.1.1-jre17
1.2.0.3-jre17-rc1	com.jwebmp.plugins.security	jwebmp-plugins-session-storage-security	1.2.0.3-jre17-rc1
1.2.0.2-jre16	com.jwebmp.plugins.security	jwebmp-plugins-session-storage-security	1.2.0.2-jre16
1.2.0.1-jre16	com.jwebmp.plugins.security	jwebmp-plugins-session-storage-security	1.2.0.1-jre16
1.2.0.1-jre15	com.jwebmp.plugins.security	jwebmp-plugins-session-storage-security	1.2.0.1-jre15
1.2.0.1-jre11	com.jwebmp.plugins.security	jwebmp-plugins-session-storage-security	1.2.0.1-jre11
1.2.0.0-jre16	com.jwebmp.plugins.security	jwebmp-plugins-session-storage-security	1.2.0.0-jre16
1.1.1.9-jre16	com.jwebmp.plugins.security	jwebmp-plugins-session-storage-security	1.1.1.9-jre16
1.1.1.9-jre15	com.jwebmp.plugins.security	jwebmp-plugins-session-storage-security	1.1.1.9-jre15
1.1.1.8-jre16	com.jwebmp.plugins.security	jwebmp-plugins-session-storage-security	1.1.1.8-jre16
1.1.1.8-jre15	com.jwebmp.plugins.security	jwebmp-plugins-session-storage-security	1.1.1.8-jre15
1.1.1.7-jre16	com.jwebmp.plugins.security	jwebmp-plugins-session-storage-security	1.1.1.7-jre16
1.1.1.7-jre15	com.jwebmp.plugins.security	jwebmp-plugins-session-storage-security	1.1.1.7-jre15
1.1.1.7	com.jwebmp.plugins.security	jwebmp-plugins-session-storage-security	1.1.1.7
1.1.1.5-jre15	com.jwebmp.plugins.security	jwebmp-plugins-session-storage-security	1.1.1.5-jre15
1.1.1.4-jre16	com.jwebmp.plugins.security	jwebmp-plugins-session-storage-security	1.1.1.4-jre16
1.1.1.4-jre15	com.jwebmp.plugins.security	jwebmp-plugins-session-storage-security	1.1.1.4-jre15
1.1.1.4-jre14	com.jwebmp.plugins.security	jwebmp-plugins-session-storage-security	1.1.1.4-jre14
