0.10.0-beta	named	xyz.block	tbdex-httpserver	2024-02-08T20:45:54Z	1.0.87
0.9.0	named	org.wiremock	wiremock-grpc-extension-jetty12	2024-12-02T19:51:06Z	1.5.4
0.10.0	named	org.wiremock	wiremock-grpc-extension-jetty12	2025-03-24T10:30:17Z	1.5.6
1.1.0	named	com.intuit.isl	isl-cmd	2026-02-13T01:05:10Z	1.5.5
1.1.1	named	com.intuit.isl	isl-cmd	2026-02-25T20:06:26Z	1.5.5
1.2.0	named	com.intuit.isl	isl-cmd	2026-04-09T06:29:28Z	1.5.5
