com.networknt	allowed
com.github.nagyesta.abort-mission.reports	blocked
com.github.tomakehurst	blocked
com.intuit.isl	blocked
dev.dokimos	blocked
io.github.jdbcx	blocked
org.sonarsource.text	blocked
org.wiremock	blocked
org.wiremock.extensions	blocked
org.wiremock.integrations	blocked
xyz.block	blocked
