0.0.1			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/app/cybrid/cybrid-android-sdk/0.0.1/cybrid-android-sdk-0.0.1.jar returned status 404
0.0.100			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/app/cybrid/cybrid-android-sdk/0.0.100/cybrid-android-sdk-0.0.100.jar returned status 404
0.0.101			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/app/cybrid/cybrid-android-sdk/0.0.101/cybrid-android-sdk-0.0.101.jar returned status 404
0.0.102			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/app/cybrid/cybrid-android-sdk/0.0.102/cybrid-android-sdk-0.0.102.jar returned status 404
0.0.104			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/app/cybrid/cybrid-android-sdk/0.0.104/cybrid-android-sdk-0.0.104.jar returned status 404
0.0.106			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/app/cybrid/cybrid-android-sdk/0.0.106/cybrid-android-sdk-0.0.106.jar returned status 404
0.0.16			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/app/cybrid/cybrid-android-sdk/0.0.16/cybrid-android-sdk-0.0.16.jar returned status 404
0.0.2			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/app/cybrid/cybrid-android-sdk/0.0.2/cybrid-android-sdk-0.0.2.jar returned status 404
0.0.25			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/app/cybrid/cybrid-android-sdk/0.0.25/cybrid-android-sdk-0.0.25.jar returned status 404
0.0.27			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/app/cybrid/cybrid-android-sdk/0.0.27/cybrid-android-sdk-0.0.27.jar returned status 404
0.0.29			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/app/cybrid/cybrid-android-sdk/0.0.29/cybrid-android-sdk-0.0.29.jar returned status 404
0.0.3			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/app/cybrid/cybrid-android-sdk/0.0.3/cybrid-android-sdk-0.0.3.jar returned status 404
0.0.31			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/app/cybrid/cybrid-android-sdk/0.0.31/cybrid-android-sdk-0.0.31.jar returned status 404
0.0.43			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/app/cybrid/cybrid-android-sdk/0.0.43/cybrid-android-sdk-0.0.43.jar returned status 404
0.0.55			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/app/cybrid/cybrid-android-sdk/0.0.55/cybrid-android-sdk-0.0.55.jar returned status 404
0.0.56			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/app/cybrid/cybrid-android-sdk/0.0.56/cybrid-android-sdk-0.0.56.jar returned status 404
0.0.6			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/app/cybrid/cybrid-android-sdk/0.0.6/cybrid-android-sdk-0.0.6.jar returned status 404
0.0.64			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/app/cybrid/cybrid-android-sdk/0.0.64/cybrid-android-sdk-0.0.64.jar returned status 404
0.0.69			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/app/cybrid/cybrid-android-sdk/0.0.69/cybrid-android-sdk-0.0.69.jar returned status 404
0.0.7			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/app/cybrid/cybrid-android-sdk/0.0.7/cybrid-android-sdk-0.0.7.jar returned status 404
0.0.72			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/app/cybrid/cybrid-android-sdk/0.0.72/cybrid-android-sdk-0.0.72.jar returned status 404
0.0.73			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/app/cybrid/cybrid-android-sdk/0.0.73/cybrid-android-sdk-0.0.73.jar returned status 404
0.0.75			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/app/cybrid/cybrid-android-sdk/0.0.75/cybrid-android-sdk-0.0.75.jar returned status 404
0.0.76			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/app/cybrid/cybrid-android-sdk/0.0.76/cybrid-android-sdk-0.0.76.jar returned status 404
