1.4.0	named	commons-jxpath	commons-jxpath	2025-04-13T22:56:30Z	1.4.0
1.8.0	named	com.jd.live	joylive-parser-jxpath	2025-08-04T11:45:39Z	1.4.0
1.9.0	named	com.jd.live	joylive-parser-jxpath	2026-04-07T12:58:44Z	1.4.0
