1.4.0			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/bybutter/sisyphus/deploy/com.bybutter.sisyphus.deploy.gradle.plugin/1.4.0/com.bybutter.sisyphus.deploy.gradle.plugin-1.4.0.jar returned status 404
1.4.10			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/bybutter/sisyphus/deploy/com.bybutter.sisyphus.deploy.gradle.plugin/1.4.10/com.bybutter.sisyphus.deploy.gradle.plugin-1.4.10.jar returned status 404
1.4.11			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/bybutter/sisyphus/deploy/com.bybutter.sisyphus.deploy.gradle.plugin/1.4.11/com.bybutter.sisyphus.deploy.gradle.plugin-1.4.11.jar returned status 404
