0.0.1		2022-03-11T22:11:24Z	
0.2			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/codes/vps/mockta-server/0.2/mockta-server-0.2.jar returned status 404
0.3			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/codes/vps/mockta-server/0.3/mockta-server-0.3.jar returned status 404
0.4			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/codes/vps/mockta-server/0.4/mockta-server-0.4.jar returned status 404
0.5			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/codes/vps/mockta-server/0.5/mockta-server-0.5.jar returned status 404
