0.0.4	automatic	io.github.rassafel	bus-spring	2026-04-06T17:13:17Z	
8.8.9	named	org.miaixz	bus-spring	2026-08-04T06:38:20Z	8.8.9
8.8.10	named	org.miaixz	bus-spring	2026-08-05T16:49:09Z	8.8.10
8.8.11	named	org.miaixz	bus-spring	2026-08-08T07:33:30Z	8.8.11
8.8.12	named	org.miaixz	bus-spring	2026-08-08T16:00:43Z	8.8.12
8.8.13	named	org.miaixz	bus-spring	2026-08-09T11:07:51Z	8.8.13
8.8.15	named	org.miaixz	bus-spring	2026-08-09T16:44:56Z	8.8.15
8.8.16	named	org.miaixz	bus-spring	2026-08-23T21:56:41Z	8.8.16
8.8.18	named	org.miaixz	bus-spring	2026-08-25T09:56:35Z	8.8.18
