1.0.5	named	su.boleyn.oj	oj-server	2020-09-20T15:26:45Z	9.0.38
1.0.6	named	su.boleyn.oj	oj-server	2020-10-13T22:48:32Z	9.0.39
1.1.0	named	su.boleyn.oj	oj-server	2020-11-21T23:12:46Z	9.0.40
1.1.2	named	su.boleyn.oj	oj-server	2020-12-13T13:44:30Z	10.0.0
1.0.0	named	io.github.huangchengsir	log-kafka	2024-11-30T15:09:25Z	9.0.79
1.0.1	named	io.github.huangchengsir	log-kafka	2024-12-10T14:46:54Z	9.0.79
1.0.2	named	io.github.typecoh	typecoh-minio-uploadfile	2025-07-30T16:16:02Z	9.0.68
1.0.0	named	io.github.haiphamcoder	xss-clean-spring	2025-09-26T02:26:36Z	10.1.44
1.0.1	named	io.github.haiphamcoder	xss-clean-spring	2025-09-26T03:41:25Z	10.1.44
1.0.2	named	io.github.haiphamcoder	xss-clean-spring	2025-09-26T03:49:46Z	10.1.44
1.0.3	named	io.github.haiphamcoder	xss-clean-spring	2025-09-26T04:04:48Z	10.1.44
1.0.4	named	io.github.haiphamcoder	xss-clean-spring	2025-09-26T04:20:52Z	10.1.44
1.0.5	named	io.github.haiphamcoder	xss-clean-spring	2025-09-26T04:37:45Z	10.1.44
1.0.6	named	io.github.haiphamcoder	xss-clean-spring	2025-09-27T04:08:52Z	10.1.44
1.0.7	named	io.github.haiphamcoder	xss-clean-spring	2025-10-03T09:09:13Z	10.1.44
1.0.3	named	io.github.huangchengsir	log-kafka	2026-02-10T15:06:16Z	9.0.79
1.0.4	named	io.github.huangchengsir	log-kafka	2026-02-10T15:19:27Z	9.0.79
1.0.5	named	io.github.huangchengsir	log-kafka	2026-02-10T15:29:08Z	9.0.79
1.0.8	named	io.github.haiphamcoder	xss-clean-spring	2026-03-31T07:50:59Z	10.1.44
