org.graalvm.js	allowed
ca.ibodrov.concord	rejected
com.dbvis	rejected
com.inova8	rejected
com.soartech	rejected
com.walmartlabs.concord	rejected
com.walmartlabs.concord.k8s	rejected
com.walmartlabs.concord.runtime.v1	rejected
com.walmartlabs.concord.runtime.v2	rejected
de.caluga	rejected
dev.ybrig.ck8s.cli	rejected
io.github.neofreko	rejected
io.hyperfoil.tools	rejected
io.nosqlbench	rejected
io.vertx	rejected
org.cibseven.bpm	rejected
org.graphwalker	rejected
org.hl7.fhir.publisher	rejected
org.noear	rejected
