1.0.0	io.github.ralfspoeth	filews	1.0.0
0.6	io.github.ralfspoeth	filews	0.6
0.5	io.github.ralfspoeth	filews	0.5
0.4	io.github.ralfspoeth	filews	0.4
0.3	io.github.ralfspoeth	filews	0.3
