1.0.0	pro.shuangxi.framework.openfx	common	1.0.0
0.11.3	io.github.matwoess	java-profiler-common	0.11.3
0.11.2	io.github.matwoess	java-profiler-common	0.11.2
0.11.1	io.github.matwoess	java-profiler-common	0.11.1
