0.9.5	named	io.avaje.kate	avaje-kate	2022-05-24T03:03:53Z	0.9.5
0.10	named	io.avaje.kate	avaje-kate	2025-06-24T08:19:03Z	0.10
0.11	named	io.avaje.kate	avaje-kate	2025-11-10T09:36:34Z	0.11
