2.3.11.1			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/antdigital/livenessverify/nfc/2.3.11.1/nfc-2.3.11.1.jar returned status 404
2.3.14			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/antdigital/livenessverify/nfc/2.3.14/nfc-2.3.14.jar returned status 404
2.3.15			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/antdigital/livenessverify/nfc/2.3.15/nfc-2.3.15.jar returned status 404
2.3.18			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/antdigital/livenessverify/nfc/2.3.18/nfc-2.3.18.jar returned status 404
2.3.19			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/antdigital/livenessverify/nfc/2.3.19/nfc-2.3.19.jar returned status 404
2.3.21			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/antdigital/livenessverify/nfc/2.3.21/nfc-2.3.21.jar returned status 404
2.3.23			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/antdigital/livenessverify/nfc/2.3.23/nfc-2.3.23.jar returned status 404
2.3.25.1			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/antdigital/livenessverify/nfc/2.3.25.1/nfc-2.3.25.1.jar returned status 404
2.3.28			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/antdigital/livenessverify/nfc/2.3.28/nfc-2.3.28.jar returned status 404
2.3.32			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/antdigital/livenessverify/nfc/2.3.32/nfc-2.3.32.jar returned status 404
2.3.32.1			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/antdigital/livenessverify/nfc/2.3.32.1/nfc-2.3.32.1.jar returned status 404
2.3.33			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/antdigital/livenessverify/nfc/2.3.33/nfc-2.3.33.jar returned status 404
2.3.38			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/antdigital/livenessverify/nfc/2.3.38/nfc-2.3.38.jar returned status 404
2.3.39			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/antdigital/livenessverify/nfc/2.3.39/nfc-2.3.39.jar returned status 404
2.3.40			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/antdigital/livenessverify/nfc/2.3.40/nfc-2.3.40.jar returned status 404
2.3.41		2025-09-28T03:22:51Z	IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/antdigital/livenessverify/nfc/2.3.41/nfc-2.3.41.jar returned status 404
2.3.41.2			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/antdigital/livenessverify/nfc/2.3.41.2/nfc-2.3.41.2.jar returned status 404
2.3.42			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/antdigital/livenessverify/nfc/2.3.42/nfc-2.3.42.jar returned status 404
2.3.43			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/antdigital/livenessverify/nfc/2.3.43/nfc-2.3.43.jar returned status 404
2.3.44			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/antdigital/livenessverify/nfc/2.3.44/nfc-2.3.44.jar returned status 404
2.3.44.3			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/antdigital/livenessverify/nfc/2.3.44.3/nfc-2.3.44.3.jar returned status 404
2.3.45			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/antdigital/livenessverify/nfc/2.3.45/nfc-2.3.45.jar returned status 404
2.3.46			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/antdigital/livenessverify/nfc/2.3.46/nfc-2.3.46.jar returned status 404
2.3.48			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/antdigital/livenessverify/nfc/2.3.48/nfc-2.3.48.jar returned status 404
2.3.50		2026-06-25T03:54:01Z	IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/antdigital/livenessverify/nfc/2.3.50/nfc-2.3.50.jar returned status 404
2.3.51		2026-08-10T10:57:55Z	IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/antdigital/livenessverify/nfc/2.3.51/nfc-2.3.51.jar returned status 404
2.3.9			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/antdigital/livenessverify/nfc/2.3.9/nfc-2.3.9.jar returned status 404
