0.12.0			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/kodein/log/kodein-log-tvossimulatorarm64/0.12.0/kodein-log-tvossimulatorarm64-0.12.0.jar returned status 404
0.13.0			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/kodein/log/kodein-log-tvossimulatorarm64/0.13.0/kodein-log-tvossimulatorarm64-0.13.0.jar returned status 404
0.13.0	metadata	2022-05-14T16:03:25Z	
