1.0.0			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cc/bytematrix/nexus/AdProbe/1.0.0/AdProbe-1.0.0.jar returned status 404
1.0.01			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cc/bytematrix/nexus/AdProbe/1.0.01/AdProbe-1.0.01.jar returned status 404
1.0.02			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cc/bytematrix/nexus/AdProbe/1.0.02/AdProbe-1.0.02.jar returned status 404
1.0.03			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cc/bytematrix/nexus/AdProbe/1.0.03/AdProbe-1.0.03.jar returned status 404
1.0.04			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cc/bytematrix/nexus/AdProbe/1.0.04/AdProbe-1.0.04.jar returned status 404
