0.9.7	named	io.github.m-m-m	mmm-rpc-server-java	2024-06-23T23:16:34Z	0.9.7
0.9.8	named	io.github.m-m-m	mmm-rpc-server-java	2024-08-10T15:04:20Z	0.9.8
0.9.10	named	io.github.m-m-m	mmm-rpc-server-java	2024-10-04T14:46:37Z	0.9.10
0.9.11	named	io.github.m-m-m	mmm-rpc-server-java	2025-01-02T00:24:33Z	0.9.11
0.9.12	named	io.github.m-m-m	mmm-rpc-server-java	2025-11-22T12:11:50Z	0.9.12
0.9.13	named	io.github.m-m-m	mmm-rpc-server-java	2025-12-29T15:45:45Z	0.9.13
