0.18.3	is.codion	codion-swing-framework-server-monitor	0.18.3
0.18.2	is.codion	codion-swing-framework-server-monitor	0.18.2
0.18.1	is.codion	codion-swing-framework-server-monitor	0.18.1
0.18.0	is.codion	codion-swing-framework-server-monitor	0.18.0
0.17.43	is.codion	codion-swing-framework-server-monitor	0.17.43
0.17.42	is.codion	codion-swing-framework-server-monitor	0.17.42
0.17.41	is.codion	codion-swing-framework-server-monitor	0.17.41
0.17.40	is.codion	codion-swing-framework-server-monitor	0.17.40
0.17.39	is.codion	codion-swing-framework-server-monitor	0.17.39
0.17.38	is.codion	codion-swing-framework-server-monitor	0.17.38
0.17.37	is.codion	codion-swing-framework-server-monitor	0.17.37
0.17.36	is.codion	codion-swing-framework-server-monitor	0.17.36
0.17.35	is.codion	codion-swing-framework-server-monitor	0.17.35
0.17.34	is.codion	codion-swing-framework-server-monitor	0.17.34
0.17.33	is.codion	codion-swing-framework-server-monitor	0.17.33
0.17.32	is.codion	codion-swing-framework-server-monitor	0.17.32
0.17.31	is.codion	codion-swing-framework-server-monitor	0.17.31
0.17.30	is.codion	codion-swing-framework-server-monitor	0.17.30
0.17.29	is.codion	codion-swing-framework-server-monitor	0.17.29
0.17.28	is.codion	codion-swing-framework-server-monitor	0.17.28
0.17.27	is.codion	codion-swing-framework-server-monitor	0.17.27
0.17.26	is.codion	codion-swing-framework-server-monitor	0.17.26
0.17.25	is.codion	codion-swing-framework-server-monitor	0.17.25
0.17.24	is.codion	codion-swing-framework-server-monitor	0.17.24
0.17.23	is.codion	codion-swing-framework-server-monitor	0.17.23
0.17.22	is.codion	codion-swing-framework-server-monitor	0.17.22
0.17.21	is.codion	codion-swing-framework-server-monitor	0.17.21
0.17.20	is.codion	codion-swing-framework-server-monitor	0.17.20
0.17.19	is.codion	codion-swing-framework-server-monitor	0.17.19
0.17.18	is.codion	codion-swing-framework-server-monitor	0.17.18
0.17.17	is.codion	codion-swing-framework-server-monitor	0.17.17
