0.3.0	named	group.insyde	statefun-tsukuyomi-dispatcher	2022-05-19T12:59:22Z	2.3.2
0.5.0	named	org.flinkextended	dl-on-flink-examples-tensorflow	2022-06-27T07:59:35Z	2.3.2
0.5.0	named	org.flinkextended	dl-on-flink-examples-pytorch	2022-06-27T07:59:53Z	2.3.2
0.5.0	named	org.flinkextended	dl-on-flink-examples-tensorflow-2.x	2022-06-27T08:00:12Z	2.3.2
