1.0.0			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/inkapplications/android-preferences/1.0.0/android-preferences-1.0.0.jar returned status 404
1.1.0			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/inkapplications/android-preferences/1.1.0/android-preferences-1.1.0.jar returned status 404
1.1.0	source	2014-08-25T21:55:04Z	
