4.0.1	com.io7m.jmutnum	com.io7m.jmutnum.core	4.0.1
4.0.0	com.io7m.mutable.numbers	com.io7m.mutable.numbers.core	4.0.0
3.0.0	com.io7m.mutable.numbers	com.io7m.mutable.numbers.core	3.0.0
2.0.0	com.io7m.mutable.numbers	com.io7m.mutable.numbers.core	2.0.0
