3.0.0			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/carbon/analytics/org.wso2.carbon.streaming.integrator.statistics/3.0.0/org.wso2.carbon.streaming.integrator.statistics-3.0.0.jar returned status 404
3.0.1			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/carbon/analytics/org.wso2.carbon.streaming.integrator.statistics/3.0.1/org.wso2.carbon.streaming.integrator.statistics-3.0.1.jar returned status 404
3.0.10		2019-10-03T08:47:02Z	
3.0.11		2019-10-03T13:28:55Z	
3.0.12		2019-10-04T15:27:50Z	
3.0.13		2019-10-04T17:57:49Z	
3.0.14		2019-10-16T01:02:51Z	
3.0.15		2019-10-18T10:01:23Z	
3.0.16			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/carbon/analytics/org.wso2.carbon.streaming.integrator.statistics/3.0.16/org.wso2.carbon.streaming.integrator.statistics-3.0.16.jar returned status 404
3.0.17			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/carbon/analytics/org.wso2.carbon.streaming.integrator.statistics/3.0.17/org.wso2.carbon.streaming.integrator.statistics-3.0.17.jar returned status 404
3.0.18		2019-12-12T07:07:04Z	
3.0.19			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/carbon/analytics/org.wso2.carbon.streaming.integrator.statistics/3.0.19/org.wso2.carbon.streaming.integrator.statistics-3.0.19.jar returned status 404
3.0.2			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/carbon/analytics/org.wso2.carbon.streaming.integrator.statistics/3.0.2/org.wso2.carbon.streaming.integrator.statistics-3.0.2.jar returned status 404
3.0.20			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/carbon/analytics/org.wso2.carbon.streaming.integrator.statistics/3.0.20/org.wso2.carbon.streaming.integrator.statistics-3.0.20.jar returned status 404
3.0.21			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/carbon/analytics/org.wso2.carbon.streaming.integrator.statistics/3.0.21/org.wso2.carbon.streaming.integrator.statistics-3.0.21.jar returned status 404
3.0.22			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/carbon/analytics/org.wso2.carbon.streaming.integrator.statistics/3.0.22/org.wso2.carbon.streaming.integrator.statistics-3.0.22.jar returned status 404
3.0.24		2020-02-11T13:15:18Z	
3.0.26		2020-02-13T15:37:03Z	
3.0.27		2020-02-18T05:47:51Z	
3.0.28		2020-02-23T06:58:06Z	
3.0.29		2020-03-02T12:53:31Z	
3.0.3			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/carbon/analytics/org.wso2.carbon.streaming.integrator.statistics/3.0.3/org.wso2.carbon.streaming.integrator.statistics-3.0.3.jar returned status 404
3.0.30		2020-03-03T19:41:13Z	
3.0.31		2020-03-04T19:19:12Z	
3.0.32		2020-03-05T13:52:36Z	
3.0.33		2020-03-06T12:44:59Z	
3.0.34		2020-03-17T12:29:23Z	
3.0.35		2020-04-21T14:41:56Z	
3.0.36		2020-05-05T12:54:21Z	
3.0.37		2020-06-15T14:15:08Z	
3.0.38		2020-07-06T18:50:57Z	
3.0.39		2020-07-16T21:35:29Z	
3.0.4			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/carbon/analytics/org.wso2.carbon.streaming.integrator.statistics/3.0.4/org.wso2.carbon.streaming.integrator.statistics-3.0.4.jar returned status 404
3.0.40		2020-07-17T18:02:45Z	
3.0.41		2020-07-23T09:29:37Z	
3.0.42		2020-07-28T08:32:21Z	
3.0.43		2020-07-29T08:54:45Z	
3.0.44		2020-07-29T20:18:01Z	
3.0.45		2020-08-02T18:51:52Z	
3.0.46		2020-08-05T08:56:13Z	
3.0.47		2020-08-06T04:53:20Z	
3.0.48		2021-01-12T14:48:27Z	
3.0.49		2021-01-26T14:41:15Z	
3.0.5			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/carbon/analytics/org.wso2.carbon.streaming.integrator.statistics/3.0.5/org.wso2.carbon.streaming.integrator.statistics-3.0.5.jar returned status 404
3.0.50		2021-02-02T16:17:23Z	
3.0.51		2021-02-16T19:14:39Z	
3.0.52		2021-02-24T06:11:59Z	
3.0.53		2021-04-02T21:37:03Z	
3.0.54		2021-04-16T05:51:06Z	
