3.0.0			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/carbon/analytics/org.wso2.carbon.streaming.integrator.core/3.0.0/org.wso2.carbon.streaming.integrator.core-3.0.0.jar returned status 404
3.0.1			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/carbon/analytics/org.wso2.carbon.streaming.integrator.core/3.0.1/org.wso2.carbon.streaming.integrator.core-3.0.1.jar returned status 404
3.0.10		2019-10-03T08:32:28Z	
3.0.11		2019-10-03T13:15:11Z	
3.0.12		2019-10-04T15:12:09Z	
3.0.13		2019-10-04T17:42:36Z	
3.0.14		2019-10-16T00:45:56Z	
3.0.15		2019-10-18T09:47:33Z	
3.0.16			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/carbon/analytics/org.wso2.carbon.streaming.integrator.core/3.0.16/org.wso2.carbon.streaming.integrator.core-3.0.16.jar returned status 404
3.0.17			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/carbon/analytics/org.wso2.carbon.streaming.integrator.core/3.0.17/org.wso2.carbon.streaming.integrator.core-3.0.17.jar returned status 404
3.0.18		2019-12-12T06:53:51Z	
3.0.19			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/carbon/analytics/org.wso2.carbon.streaming.integrator.core/3.0.19/org.wso2.carbon.streaming.integrator.core-3.0.19.jar returned status 404
3.0.2			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/carbon/analytics/org.wso2.carbon.streaming.integrator.core/3.0.2/org.wso2.carbon.streaming.integrator.core-3.0.2.jar returned status 404
3.0.20			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/carbon/analytics/org.wso2.carbon.streaming.integrator.core/3.0.20/org.wso2.carbon.streaming.integrator.core-3.0.20.jar returned status 404
3.0.21			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/carbon/analytics/org.wso2.carbon.streaming.integrator.core/3.0.21/org.wso2.carbon.streaming.integrator.core-3.0.21.jar returned status 404
3.0.22			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/carbon/analytics/org.wso2.carbon.streaming.integrator.core/3.0.22/org.wso2.carbon.streaming.integrator.core-3.0.22.jar returned status 404
3.0.23			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/carbon/analytics/org.wso2.carbon.streaming.integrator.core/3.0.23/org.wso2.carbon.streaming.integrator.core-3.0.23.jar returned status 404
3.0.24		2020-02-11T09:35:07Z	
3.0.26		2020-02-13T15:21:34Z	
3.0.27		2020-02-18T05:31:22Z	
3.0.28		2020-02-23T06:42:33Z	
3.0.29		2020-03-02T12:37:56Z	
3.0.3			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/carbon/analytics/org.wso2.carbon.streaming.integrator.core/3.0.3/org.wso2.carbon.streaming.integrator.core-3.0.3.jar returned status 404
3.0.30		2020-03-03T19:25:33Z	
3.0.31		2020-03-04T19:02:40Z	
3.0.32		2020-03-05T13:36:53Z	
3.0.33		2020-03-06T12:29:08Z	
3.0.34		2020-03-17T12:13:33Z	
3.0.35		2020-04-21T14:25:52Z	
3.0.36		2020-05-05T12:38:21Z	
3.0.37		2020-06-15T13:59:16Z	
3.0.38		2020-07-06T18:34:18Z	
3.0.39		2020-07-16T21:17:47Z	
3.0.4			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/carbon/analytics/org.wso2.carbon.streaming.integrator.core/3.0.4/org.wso2.carbon.streaming.integrator.core-3.0.4.jar returned status 404
3.0.40		2020-07-17T17:46:03Z	
3.0.41		2020-07-23T09:12:46Z	
3.0.42		2020-07-28T08:15:26Z	
3.0.43		2020-07-29T08:36:55Z	
3.0.44		2020-07-29T19:59:25Z	
