3.0.0			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/carbon/analytics/org.wso2.carbon.si.metrics.core/3.0.0/org.wso2.carbon.si.metrics.core-3.0.0.jar returned status 404
3.0.1			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/carbon/analytics/org.wso2.carbon.si.metrics.core/3.0.1/org.wso2.carbon.si.metrics.core-3.0.1.jar returned status 404
3.0.10		2019-10-03T08:30:02Z	
3.0.11		2019-10-03T13:12:16Z	
3.0.12		2019-10-04T15:08:40Z	
3.0.13		2019-10-04T17:39:34Z	
3.0.14		2019-10-16T00:42:50Z	
3.0.15		2019-10-18T09:45:05Z	
3.0.16			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/carbon/analytics/org.wso2.carbon.si.metrics.core/3.0.16/org.wso2.carbon.si.metrics.core-3.0.16.jar returned status 404
3.0.17			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/carbon/analytics/org.wso2.carbon.si.metrics.core/3.0.17/org.wso2.carbon.si.metrics.core-3.0.17.jar returned status 404
3.0.18		2019-12-12T06:51:23Z	
3.0.19			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/carbon/analytics/org.wso2.carbon.si.metrics.core/3.0.19/org.wso2.carbon.si.metrics.core-3.0.19.jar returned status 404
3.0.2			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/carbon/analytics/org.wso2.carbon.si.metrics.core/3.0.2/org.wso2.carbon.si.metrics.core-3.0.2.jar returned status 404
3.0.20			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/carbon/analytics/org.wso2.carbon.si.metrics.core/3.0.20/org.wso2.carbon.si.metrics.core-3.0.20.jar returned status 404
3.0.21			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/carbon/analytics/org.wso2.carbon.si.metrics.core/3.0.21/org.wso2.carbon.si.metrics.core-3.0.21.jar returned status 404
3.0.22			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/carbon/analytics/org.wso2.carbon.si.metrics.core/3.0.22/org.wso2.carbon.si.metrics.core-3.0.22.jar returned status 404
3.0.23			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/carbon/analytics/org.wso2.carbon.si.metrics.core/3.0.23/org.wso2.carbon.si.metrics.core-3.0.23.jar returned status 404
3.0.24		2020-02-11T08:32:40Z	
3.0.26		2020-02-13T15:19:07Z	
3.0.27		2020-02-18T05:28:45Z	
3.0.28		2020-02-23T06:40:10Z	
3.0.29		2020-03-02T12:35:31Z	
3.0.3			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/carbon/analytics/org.wso2.carbon.si.metrics.core/3.0.3/org.wso2.carbon.si.metrics.core-3.0.3.jar returned status 404
3.0.30		2020-03-03T19:23:09Z	
3.0.31		2020-03-04T19:00:06Z	
3.0.32		2020-03-05T13:34:27Z	
3.0.33		2020-03-06T12:26:38Z	
3.0.34		2020-03-17T12:11:01Z	
3.0.35		2020-04-21T14:23:26Z	
3.0.36		2020-05-05T12:35:55Z	
3.0.37		2020-06-15T13:56:49Z	
3.0.38		2020-07-06T18:31:50Z	
3.0.39		2020-07-16T21:15:00Z	
3.0.4			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/carbon/analytics/org.wso2.carbon.si.metrics.core/3.0.4/org.wso2.carbon.si.metrics.core-3.0.4.jar returned status 404
3.0.40		2020-07-17T17:43:35Z	
3.0.41		2020-07-23T09:10:17Z	
3.0.42		2020-07-28T08:12:58Z	
3.0.43		2020-07-29T08:34:25Z	
3.0.44		2020-07-29T19:56:55Z	
3.0.45		2020-08-02T18:32:08Z	
3.0.46		2020-08-05T08:36:46Z	
3.0.47		2020-08-06T04:34:20Z	
3.0.48		2021-01-12T14:22:27Z	
3.0.49		2021-01-26T14:10:27Z	
3.0.5			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/carbon/analytics/org.wso2.carbon.si.metrics.core/3.0.5/org.wso2.carbon.si.metrics.core-3.0.5.jar returned status 404
3.0.50		2021-02-02T15:51:31Z	
3.0.51		2021-02-16T18:47:25Z	
3.0.52		2021-02-24T05:46:20Z	
3.0.53		2021-04-02T21:09:17Z	
3.0.54		2021-04-16T05:25:44Z	
3.0.55		2021-04-29T06:13:49Z	
3.0.56		2021-11-26T10:27:08Z	
3.0.57		2022-02-22T17:52:01Z	
3.0.58			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/carbon/analytics/org.wso2.carbon.si.metrics.core/3.0.58/org.wso2.carbon.si.metrics.core-3.0.58.jar returned status 404
3.0.59			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/carbon/analytics/org.wso2.carbon.si.metrics.core/3.0.59/org.wso2.carbon.si.metrics.core-3.0.59.jar returned status 404
3.0.6			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/carbon/analytics/org.wso2.carbon.si.metrics.core/3.0.6/org.wso2.carbon.si.metrics.core-3.0.6.jar returned status 404
3.0.60			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/carbon/analytics/org.wso2.carbon.si.metrics.core/3.0.60/org.wso2.carbon.si.metrics.core-3.0.60.jar returned status 404
3.0.61			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/carbon/analytics/org.wso2.carbon.si.metrics.core/3.0.61/org.wso2.carbon.si.metrics.core-3.0.61.jar returned status 404
3.0.62			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/carbon/analytics/org.wso2.carbon.si.metrics.core/3.0.62/org.wso2.carbon.si.metrics.core-3.0.62.jar returned status 404
3.0.63		2022-11-02T11:05:00Z	
3.0.64		2022-11-09T13:16:57Z	
3.0.65		2022-11-28T23:38:26Z	
3.0.66		2022-12-01T04:50:26Z	
3.0.67		2023-01-27T06:33:27Z	
3.0.68		2023-02-07T17:09:22Z	
3.0.69		2023-02-27T12:03:13Z	
3.0.7			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/carbon/analytics/org.wso2.carbon.si.metrics.core/3.0.7/org.wso2.carbon.si.metrics.core-3.0.7.jar returned status 404
3.0.70		2024-03-21T10:15:46Z	
3.0.71			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/carbon/analytics/org.wso2.carbon.si.metrics.core/3.0.71/org.wso2.carbon.si.metrics.core-3.0.71.jar returned status 404
3.0.72			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/carbon/analytics/org.wso2.carbon.si.metrics.core/3.0.72/org.wso2.carbon.si.metrics.core-3.0.72.jar returned status 404
3.0.73			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/carbon/analytics/org.wso2.carbon.si.metrics.core/3.0.73/org.wso2.carbon.si.metrics.core-3.0.73.jar returned status 404
3.0.74			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/carbon/analytics/org.wso2.carbon.si.metrics.core/3.0.74/org.wso2.carbon.si.metrics.core-3.0.74.jar returned status 404
3.0.75		2025-04-08T02:37:58Z	
