3.2.0-M2	jakarta.concurrency	jakarta.concurrency-api	3.2.0-M2
3.2.0-M1	jakarta.enterprise.concurrent	jakarta.enterprise.concurrent-api	3.2.0-M1
3.1.1	jakarta.enterprise.concurrent	jakarta.enterprise.concurrent-api	3.1.1
3.1.0	jakarta.enterprise.concurrent	jakarta.enterprise.concurrent-api	3.1.0
3.1.0-RC2	jakarta.enterprise.concurrent	jakarta.enterprise.concurrent-api	3.1.0-RC2
3.1.0-RC1	jakarta.enterprise.concurrent	jakarta.enterprise.concurrent-api	3.1.0-RC1
3.1.0-M2	jakarta.enterprise.concurrent	jakarta.enterprise.concurrent-api	3.1.0-M2
3.1.0-M1	jakarta.enterprise.concurrent	jakarta.enterprise.concurrent-api	3.1.0-M1
3.0.4	jakarta.enterprise.concurrent	jakarta.enterprise.concurrent-api	3.0.4
3.0.3	jakarta.enterprise.concurrent	jakarta.enterprise.concurrent-api	3.0.3
3.0.2	jakarta.enterprise.concurrent	jakarta.enterprise.concurrent-api	3.0.2
3.0.1	jakarta.enterprise.concurrent	jakarta.enterprise.concurrent-api	3.0.1
