3.2.0-M2	named	jakarta.concurrency	jakarta.concurrency-api
3.2.0-M1	named	jakarta.enterprise.concurrent	jakarta.enterprise.concurrent-api
3.1.1	named	jakarta.enterprise.concurrent	jakarta.enterprise.concurrent-api
3.1.0	named	jakarta.enterprise.concurrent	jakarta.enterprise.concurrent-api
3.1.0-RC2	named	jakarta.enterprise.concurrent	jakarta.enterprise.concurrent-api
3.1.0-RC1	named	jakarta.enterprise.concurrent	jakarta.enterprise.concurrent-api
3.1.0-M2	named	jakarta.enterprise.concurrent	jakarta.enterprise.concurrent-api
3.1.0-M1	named	jakarta.enterprise.concurrent	jakarta.enterprise.concurrent-api
3.0.4	named	jakarta.enterprise.concurrent	jakarta.enterprise.concurrent-api
3.0.3	named	jakarta.enterprise.concurrent	jakarta.enterprise.concurrent-api
3.0.2	named	jakarta.enterprise.concurrent	jakarta.enterprise.concurrent-api
3.0.1	named	jakarta.enterprise.concurrent	jakarta.enterprise.concurrent-api
