4.8.0	automatic	com.innoventsolutions.birt.runtime	org.eclipse.emf.ecore.xmi_2.14.0.v20180129-1548
2.41.0	automatic	org.eclipse.emf	org.eclipse.emf.ecore.xmi
2.40.0	automatic	org.eclipse.emf	org.eclipse.emf.ecore.xmi
2.39.0	automatic	org.eclipse.emf	org.eclipse.emf.ecore.xmi
2.38.0	automatic	org.eclipse.emf	org.eclipse.emf.ecore.xmi
2.37.0	automatic	org.eclipse.emf	org.eclipse.emf.ecore.xmi
2.36.0	automatic	org.eclipse.emf	org.eclipse.emf.ecore.xmi
2.35.0	automatic	org.eclipse.emf	org.eclipse.emf.ecore.xmi
2.18.0	automatic	org.eclipse.emf	org.eclipse.emf.ecore.xmi
2.17.0	automatic	org.eclipse.emf	org.eclipse.emf.ecore.xmi
2.16.0	automatic	org.eclipse.emf	org.eclipse.emf.ecore.xmi
2.15.0	automatic	org.eclipse.emf	org.eclipse.emf.ecore.xmi
