ch.qos.logback	allowed
ch.zizka.csvcruncher	blocked
club.dawdler	blocked
com.deltaproto	blocked
com.effacy.jui	blocked
com.expediagroup	blocked
com.github.gv2011.logback	blocked
com.github.nagyesta.abort-mission.reports	blocked
com.guicedee.services	blocked
com.jpaulmorrison	blocked
com.limemojito.oss.aws	blocked
com.yetanalytics	blocked
de.fraunhofer.iosb.ilt	blocked
de.gematik.test	blocked
fun.adaptive	blocked
io.camunda	blocked
io.flux-capacitor	blocked
io.github.neodix42	blocked
io.github.tmgg	blocked
io.spicelabs	blocked
nl.pvanassen.led	blocked
no.nav.security	blocked
org.apache.tika	blocked
org.camunda.community.migration	blocked
org.chenile	blocked
org.cloudsimplus	blocked
org.docshare	blocked
org.jetbrains.kotlinx	blocked
org.mbari.vcr4j	blocked
org.opendaylight.bgpcep	blocked
org.ton.ton4j	blocked
