net.bytebuddy	allowed
cn.easii	blocked
cn.langpy	blocked
co.elastic.apm	blocked
com.amazonaws	blocked
com.ea.async	blocked
com.github.liuzhengyang	blocked
com.google.gerrit	blocked
com.idea-aedi	blocked
com.inaos.jam	blocked
com.leanxcale	blocked
com.macstab.chaos.jvm	blocked
com.nerdvision	blocked
com.netsensia.rivalchess	blocked
com.securenative.java	blocked
com.zto.fire	blocked
io.opentracing.contrib.specialagent	blocked
me.bechberger	blocked
org.openstreetmap.atlas	blocked
software.amazon.disco	blocked
