1.1	named	javax.jws	javax.jws-api
1.0.20.2-jre15	named	com.guicedee.services	jakarta.jws-api
1.0.20.2-jre14	named	com.guicedee.services	jakarta.jws-api
1.0.20.2-jre8	named	com.guicedee.services	jakarta.jws-api
1.0.20.2	named	com.guicedee.services	jakarta.jws-api
1.0.20.1-jre15	named	com.guicedee.services	jakarta.jws-api
1.0.20.1-jre14	named	com.guicedee.services	jakarta.jws-api
1.0.20.1-jre8	named	com.guicedee.services	jakarta.jws-api
1.0.20.1	named	com.guicedee.services	jakarta.jws-api
1.0.20.0-jre15	named	com.guicedee.services	jakarta.jws-api
1.0.20.0-jre14	named	com.guicedee.services	jakarta.jws-api
1.0.20.0-jre8	named	com.guicedee.services	jakarta.jws-api
1.0.20.0	named	com.guicedee.services	jakarta.jws-api
