2.9.3	named	net.jockx	test-jssc	2021-08-02T18:33:17Z	
2.9.3	named	io.github.java-native	jssc	2021-08-07T00:01:08Z	
2.9.4	named	io.github.java-native	jssc	2021-09-08T21:57:15Z	
2.9.5	named	io.github.java-native	jssc	2023-08-09T14:24:05Z	
2.9.6	named	io.github.java-native	jssc	2023-12-15T22:14:12Z	
2.10.0	named	io.github.java-native	jssc	2025-05-19T15:55:59Z	
2.10.1	named	io.github.java-native	jssc	2025-06-10T07:09:09Z	2.10.1
2.10.2	named	io.github.java-native	jssc	2025-06-10T20:00:53Z	2.10.2
