6.6.4			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/tencent/mm/opensdk/wechat-sdk-android/6.6.4/wechat-sdk-android-6.6.4.jar returned status 404
6.8.0			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/tencent/mm/opensdk/wechat-sdk-android/6.8.0/wechat-sdk-android-6.8.0.jar returned status 404
6.8.11			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/tencent/mm/opensdk/wechat-sdk-android/6.8.11/wechat-sdk-android-6.8.11.jar returned status 404
6.8.15			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/tencent/mm/opensdk/wechat-sdk-android/6.8.15/wechat-sdk-android-6.8.15.jar returned status 404
6.8.18			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/tencent/mm/opensdk/wechat-sdk-android/6.8.18/wechat-sdk-android-6.8.18.jar returned status 404
6.8.20			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/tencent/mm/opensdk/wechat-sdk-android/6.8.20/wechat-sdk-android-6.8.20.jar returned status 404
6.8.24			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/tencent/mm/opensdk/wechat-sdk-android/6.8.24/wechat-sdk-android-6.8.24.jar returned status 404
6.8.26			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/tencent/mm/opensdk/wechat-sdk-android/6.8.26/wechat-sdk-android-6.8.26.jar returned status 404
6.8.28			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/tencent/mm/opensdk/wechat-sdk-android/6.8.28/wechat-sdk-android-6.8.28.jar returned status 404
6.8.30			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/tencent/mm/opensdk/wechat-sdk-android/6.8.30/wechat-sdk-android-6.8.30.jar returned status 404
6.8.34			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/tencent/mm/opensdk/wechat-sdk-android/6.8.34/wechat-sdk-android-6.8.34.jar returned status 404
6.8.38		2026-07-15T12:09:14Z	IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/tencent/mm/opensdk/wechat-sdk-android/6.8.38/wechat-sdk-android-6.8.38.jar returned status 404
6.8.40		2026-07-16T11:26:07Z	IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/tencent/mm/opensdk/wechat-sdk-android/6.8.40/wechat-sdk-android-6.8.40.jar returned status 404
6.8.9			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/tencent/mm/opensdk/wechat-sdk-android/6.8.9/wechat-sdk-android-6.8.9.jar returned status 404
