1.5.1	com.github.corese4rch	cvurl-io	1.5.1
1.5	com.github.corese4rch	cvurl-io	1.5
1.4	com.github.corese4rch	cvurl-io	1.4
1.3	com.github.corese4rch	cvurl-io	1.3
1.2	com.github.corese4rch	cvurl-io	1.2
1.1	com.github.corese4rch	cvurl-io	1.1
1.0	com.github.corese4rch	cvurl-io	1.0
0.9	com.github.corese4rch	cvurl-io	0.9
