1.0.28_beta			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/enited/union/account/1.0.28_beta/account-1.0.28_beta.jar returned status 404
1.0.29			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/enited/union/account/1.0.29/account-1.0.29.jar returned status 404
1.0.30			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/enited/union/account/1.0.30/account-1.0.30.jar returned status 404
