com.fasterxml.jackson.dataformat	allowed
com.cefoler.configuration	blocked
com.github.cafapi.util.flywayinstaller	blocked
com.github.jobservice	blocked
com.github.nanodeath	blocked
dev.madetobuild.typedconfig	blocked
org.monarchinitiative.vitt	blocked
