0.1	named	com.github.nanodeath	typedconfig-codegen	2022-02-22T02:12:16Z	2.13.1
0.2	named	dev.madetobuild.typedconfig	codegen	2022-03-02T23:48:45Z	2.13.1
1.1.6	named	com.cefoler.configuration	configuration	2022-04-12T19:30:02Z	2.13.2
1.1.7	named	com.cefoler.configuration	configuration	2022-04-12T20:37:23Z	2.13.2
1.1.8	named	com.cefoler.configuration	configuration	2022-04-25T06:20:36Z	2.13.2
1.2.0	named	com.cefoler.configuration	configuration	2022-05-05T04:32:55Z	2.13.2
1.2.1	named	com.cefoler.configuration	configuration	2022-05-05T05:46:04Z	2.13.2
1.2.2	named	com.cefoler.configuration	configuration	2022-05-05T12:21:47Z	2.13.2
1.2.3	named	com.cefoler.configuration	configuration	2022-05-08T14:17:14Z	2.13.2
1.2.4	named	com.cefoler.configuration	configuration	2022-05-11T12:20:51Z	2.13.2
