1.12.0			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/fish/focus/uvms/plugins/rest/movement/flux-vesselposition-rest-module/1.12.0/flux-vesselposition-rest-module-1.12.0.jar returned status 404
1.8			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/fish/focus/uvms/plugins/rest/movement/flux-vesselposition-rest-module/1.8/flux-vesselposition-rest-module-1.8.jar returned status 404
1.9			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/fish/focus/uvms/plugins/rest/movement/flux-vesselposition-rest-module/1.9/flux-vesselposition-rest-module-1.9.jar returned status 404
