1.0.0			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/co/wuji/meta_pcdn/1.0.0/meta_pcdn-1.0.0.jar returned status 404
1.0.01			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/co/wuji/meta_pcdn/1.0.01/meta_pcdn-1.0.01.jar returned status 404
1.0.11			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/co/wuji/meta_pcdn/1.0.11/meta_pcdn-1.0.11.jar returned status 404
1.1.01			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/co/wuji/meta_pcdn/1.1.01/meta_pcdn-1.1.01.jar returned status 404
