jakarta.ws.rs	allowed
com.affinidi.tdk	rejected
com.biit-solutions	rejected
com.bluecirclesoft.open	rejected
com.datadoghq	rejected
com.documents4j	rejected
com.github.estuaryoss	rejected
com.github.xeroapi	rejected
com.guicedee.services	rejected
com.inteligr8.activiti	rejected
com.jcabi	rejected
com.liferay	rejected
io.github.tblsoft.solr	rejected
me.chrissw-r1	rejected
nl.mirila.cli	rejected
no.telenor.sdk	rejected
org.jboss.narayana.lra	rejected
org.jboss.spec.javax.ws.rs	rejected
org.opengis.cite	rejected
