8.0.0	automatic	org.osgi	osgi.core	2020-12-07T23:04:08Z	
4.4.0	automatic	org.apache.karaf	org.apache.karaf.main	2022-04-18T14:37:54Z	
4.4.1	automatic	org.apache.karaf	org.apache.karaf.main	2022-07-10T05:43:06Z	
4.4.2	automatic	org.apache.karaf	org.apache.karaf.main	2022-10-18T18:01:09Z	
4.4.3	automatic	org.apache.karaf	org.apache.karaf.main	2023-01-06T14:55:32Z	
4.4.4	automatic	org.apache.karaf	org.apache.karaf.main	2023-09-12T05:50:11Z	
4.4.5	automatic	org.apache.karaf	org.apache.karaf.main	2024-01-07T14:15:46Z	
4.4.6	automatic	org.apache.karaf	org.apache.karaf.main	2024-04-09T09:04:13Z	
4.4.7	automatic	org.apache.karaf	org.apache.karaf.main	2025-01-20T10:23:50Z	
