0.6.1	named	com.rubanau	appMapAgent-java8	2021-03-07T12:21:36Z	
25.0.0	named	com.github.beothorn	javaFlame	2024-10-05T23:05:56Z	1.14.6
26.0.0	named	com.github.beothorn	javaFlame	2024-10-16T20:10:25Z	1.14.6
27.0.0	named	com.github.beothorn	javaFlame	2024-10-20T20:22:08Z	1.14.6
