net.bytebuddy	allowed
ai.superstream	rejected
au.com.integradev.delphi	rejected
cloud.orbit	rejected
co.elastic.apm	rejected
com.alipay.sdk	rejected
com.appland	rejected
com.arangodb	rejected
com.bandwidth.sdk	rejected
com.criteo.java	rejected
com.exasol	rejected
com.facebook.business.sdk	rejected
com.github.aro-tech	rejected
com.github.beothorn	rejected
com.github.jiayaoguang	rejected
com.github.jsimone	rejected
com.github.nomou	rejected
com.github.roskart.dropwizard-jaxws	rejected
com.github.shoothzj	rejected
com.google.cloud.bigtable	rejected
com.google.cloud.broker	rejected
com.graphql-java	rejected
com.groupcdg.pitest	rejected
com.guicedee.services	rejected
com.heroku	rejected
com.hiddenlayer	rejected
com.huaweicloud.sermant	rejected
com.inaos.jam	rejected
com.instaclustr	rejected
com.jcabi	rejected
com.jcabi.incubator	rejected
com.jd.live	rejected
com.leanxcale	rejected
com.liumapp.jks.core	rejected
com.liumapp.ukey.core	rejected
com.navercorp.scavenger	rejected
com.netflix.conductor	rejected
com.nordstrom.ui-tools	rejected
com.proofpoint.platform	rejected
com.qcloud.oceanus	rejected
com.rubanau	rejected
com.uchicom	rejected
com.undefinedlabs.scope	rejected
com.vaadin	rejected
com.yahoo.elide	rejected
cz.o2.proxima.beam	rejected
de.gematik.test	rejected
de.kontext-e.jqassistant.plugin	rejected
de.retest	rejected
dev.jorel	rejected
fun.tan90	rejected
io.aeron	rejected
io.atlasgo	rejected
io.castled	rejected
io.gitee.dqcer	rejected
io.github.freedy001	rejected
io.github.greycode	rejected
io.github.hugo1307	rejected
io.github.jas34	rejected
io.github.jlapugot.chronoguard	rejected
io.github.kylin-hunter	rejected
io.github.lucientong	rejected
io.github.mlanett	rejected
io.github.natural-intelligence	rejected
io.github.qsy7.java.advice.logging	rejected
io.github.qsy7.java.aspects.logging	rejected
io.github.qsy7.java.examples	rejected
io.github.quiethappiness	rejected
io.github.rocketbunny727	rejected
io.github.rr9-cn	rejected
io.github.rxue	rejected
io.github.rysefoxx.hologram.plugin	rejected
io.github.rysefoxx.npc.plugin	rejected
io.github.smallfast	rejected
io.kamon	rejected
io.keploy	rejected
io.openk9	rejected
io.opentracing.contrib.specialagent	rejected
io.prestosql	rejected
io.prestosql.tempto	rejected
io.sermant	rejected
io.trino	rejected
io.trino.tempto	rejected
io.zeebe	rejected
net.aivory	rejected
net.dmulloy2	rejected
net.serenity-bdd	rejected
nl.jqno.equalsverifier	rejected
org.agrona	rejected
org.apache.beam	rejected
org.apache.flink	rejected
org.apache.hadoop	rejected
org.apache.shardingsphere	rejected
org.apache.skywalking	rejected
org.apache.tinkerpop	rejected
org.assertj	rejected
org.bonitasoft.engine.data	rejected
org.choco-solver	rejected
org.danbrough.kotlinx	rejected
org.devocative.artemis	rejected
org.duracloud.mill	rejected
org.duracloud.snapshot	rejected
org.easymock	rejected
org.eclipse.ditto	rejected
org.eclipse.rdf4j	rejected
org.exploit	rejected
org.finos.legend.sdlc	rejected
org.finos.legend.studio	rejected
org.infinispan.doclets	rejected
org.jboss.pnc.kafkastore	rejected
org.jetbrains.kotlinx	rejected
org.kie.kogito	rejected
org.kill-bill.billing	rejected
org.lucee	rejected
org.opencds.cqf.cql	rejected
org.opendaylight.bgpcep	rejected
org.opendaylight.controller	rejected
org.opendaylight.mdsal	rejected
org.raml.jaxrs	rejected
org.rapidpm.vaadin	rejected
org.redisson	rejected
org.sheinbergon	rejected
org.talend.sdk.component.sample.feature	rejected
org.thepavel	rejected
org.tinystruct	rejected
org.treblereel.gwt.gwtproject.resources	rejected
pl.morgwai.base	rejected
pub.ihub.integration	rejected
run.mone	rejected
