1.1.4	javax.json	javax.json-api	1.1.4
1.1.3	javax.json	javax.json-api	1.1.3
1.1.2	javax.json	javax.json-api	1.1.2
1.1	javax.json	javax.json-api	1.1
1.1.0-M2	javax.json	javax.json-api	1.1.0-M2
1.1.0-M1	javax.json	javax.json-api	1.1.0-M1
