0.0.1			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/gatrongdev/kbignum-android/0.0.1/kbignum-android-0.0.1.jar returned status 404
0.0.13			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/gatrongdev/kbignum-android/0.0.13/kbignum-android-0.0.13.jar returned status 404
0.0.14			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/gatrongdev/kbignum-android/0.0.14/kbignum-android-0.0.14.jar returned status 404
0.0.15			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/gatrongdev/kbignum-android/0.0.15/kbignum-android-0.0.15.jar returned status 404
0.0.16			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/gatrongdev/kbignum-android/0.0.16/kbignum-android-0.0.16.jar returned status 404
0.0.19			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/gatrongdev/kbignum-android/0.0.19/kbignum-android-0.0.19.jar returned status 404
0.0.4			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/gatrongdev/kbignum-android/0.0.4/kbignum-android-0.0.4.jar returned status 404
