1.1	src	2008-07-20T05:04:44Z	
2.2.0			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/apache/archiva/archiva/2.2.0/archiva-2.2.0.jar returned status 404
2.2.1			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/apache/archiva/archiva/2.2.1/archiva-2.2.1.jar returned status 404
2.2.3			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/apache/archiva/archiva/2.2.3/archiva-2.2.3.jar returned status 404
2.2.4			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/apache/archiva/archiva/2.2.4/archiva-2.2.4.jar returned status 404
