0.4.0	io.stoys	stoys-spark-excel_2.11	0.4.0
0.3	io.stoys	stoys-spark-excel_2.11	0.3
0.2	io.stoys	stoys-spark-excel_2.11	0.2
0.1	io.stoys	stoys-spark-excel_2.11	0.1
