25.0.1	com.github.almasb	fxgl-entity	25.0.1
25	com.github.almasb	fxgl-entity	25
21.1	com.github.almasb	fxgl-entity	21.1
21	com.github.almasb	fxgl-entity	21
17.3	com.github.almasb	fxgl-entity	17.3
17.2	com.github.almasb	fxgl-entity	17.2
17.1	com.github.almasb	fxgl-entity	17.1
17	com.github.almasb	fxgl-entity	17
11.17	com.github.almasb	fxgl-entity	11.17
11.16	com.github.almasb	fxgl-entity	11.16
11.15	com.github.almasb	fxgl-entity	11.15
11.14	com.github.almasb	fxgl-entity	11.14
11.13	com.github.almasb	fxgl-entity	11.13
11.12	com.github.almasb	fxgl-entity	11.12
11.11	com.github.almasb	fxgl-entity	11.11
11.10	com.github.almasb	fxgl-entity	11.10
11.9	com.github.almasb	fxgl-entity	11.9
11.8	com.github.almasb	fxgl-entity	11.8
11.7	com.github.almasb	fxgl-entity	11.7
11.6	com.github.almasb	fxgl-entity	11.6
11.5	com.github.almasb	fxgl-entity	11.5
11.4	com.github.almasb	fxgl-entity	11.4
11.3	com.github.almasb	fxgl-entity	11.3
