1.13.0	named	com.github.twitch4j	twitch4j	2023-01-06T15:27:43Z	
1.13.0	named	com.github.twitch4j	twitch4j-auth	2023-01-06T15:28:15Z	
1.13.0	named	com.github.twitch4j	twitch4j-chat	2023-01-06T15:29:09Z	
1.13.0	named	com.github.twitch4j	twitch4j-client-websocket	2023-01-06T15:29:50Z	
1.13.0	named	com.github.twitch4j	twitch4j-common	2023-01-06T15:30:28Z	
1.13.0	named	com.github.twitch4j	twitch4j-eventsub-common	2023-01-06T15:31:06Z	
1.13.0	named	com.github.twitch4j	twitch4j-extensions	2023-01-06T15:31:56Z	
1.13.0	named	com.github.twitch4j	twitch4j-graphql	2023-01-06T15:32:37Z	
1.13.0	named	com.github.twitch4j	twitch4j-helix	2023-01-06T15:33:25Z	
1.13.0	named	com.github.twitch4j	twitch4j-kotlin	2023-01-06T15:33:57Z	
1.13.0	named	com.github.twitch4j	twitch4j-kraken	2023-01-06T15:34:30Z	
1.13.0	named	com.github.twitch4j	twitch4j-messaginginterface	2023-01-06T15:35:12Z	
1.13.0	named	com.github.twitch4j	twitch4j-pubsub	2023-01-06T15:35:59Z	
1.13.0	named	com.github.twitch4j	twitch4j-util	2023-01-06T15:36:41Z	
1.14.0	named	com.github.twitch4j	twitch4j	2023-02-16T19:04:28Z	
1.14.0	named	com.github.twitch4j	twitch4j-auth	2023-02-16T19:04:50Z	
1.14.0	named	com.github.twitch4j	twitch4j-chat	2023-02-16T19:05:26Z	
1.14.0	named	com.github.twitch4j	twitch4j-client-websocket	2023-02-16T19:06:04Z	
1.14.0	named	com.github.twitch4j	twitch4j-common	2023-02-16T19:06:49Z	
1.14.0	named	com.github.twitch4j	twitch4j-eventsub-common	2023-02-16T19:07:59Z	
1.14.0	named	com.github.twitch4j	twitch4j-eventsub-websocket	2023-02-16T19:08:40Z	
1.14.0	named	com.github.twitch4j	twitch4j-extensions	2023-02-16T19:09:29Z	
1.14.0	named	com.github.twitch4j	twitch4j-graphql	2023-02-16T19:10:41Z	
1.14.0	named	com.github.twitch4j	twitch4j-helix	2023-02-16T19:11:46Z	
1.14.0	named	com.github.twitch4j	twitch4j-kotlin	2023-02-16T19:12:25Z	
1.14.0	named	com.github.twitch4j	twitch4j-kraken	2023-02-16T19:13:20Z	
1.14.0	named	com.github.twitch4j	twitch4j-messaginginterface	2023-02-16T19:14:05Z	
1.14.0	named	com.github.twitch4j	twitch4j-pubsub	2023-02-16T19:15:01Z	
1.14.0	named	com.github.twitch4j	twitch4j-util	2023-02-16T19:15:44Z	
1.15.0	named	com.github.twitch4j	twitch4j	2023-04-23T15:14:00Z	
1.15.0	named	com.github.twitch4j	twitch4j-auth	2023-04-23T15:14:38Z	
1.15.0	named	com.github.twitch4j	twitch4j-chat	2023-04-23T15:15:32Z	
1.15.0	named	com.github.twitch4j	twitch4j-client-websocket	2023-04-23T15:16:12Z	
1.15.0	named	com.github.twitch4j	twitch4j-common	2023-04-23T15:16:54Z	
1.15.0	named	com.github.twitch4j	twitch4j-eventsub-common	2023-04-23T15:17:46Z	
1.15.0	named	com.github.twitch4j	twitch4j-eventsub-websocket	2023-04-23T15:18:33Z	
1.15.0	named	com.github.twitch4j	twitch4j-extensions	2023-04-23T15:19:28Z	
1.15.0	named	com.github.twitch4j	twitch4j-graphql	2023-04-23T15:20:25Z	
1.15.0	named	com.github.twitch4j	twitch4j-helix	2023-04-23T15:21:19Z	
1.15.0	named	com.github.twitch4j	twitch4j-kotlin	2023-04-23T15:22:03Z	
1.15.0	named	com.github.twitch4j	twitch4j-kraken	2023-04-23T15:22:44Z	
1.15.0	named	com.github.twitch4j	twitch4j-messaginginterface	2023-04-23T15:23:18Z	
1.15.0	named	com.github.twitch4j	twitch4j-pubsub	2023-04-23T15:24:22Z	
1.15.0	named	com.github.twitch4j	twitch4j-util	2023-04-23T15:24:59Z	
0.1.4	named	org.eclipse.ecsp	ro-sp	2025-05-22T10:57:33Z	
0.1.5	named	org.eclipse.ecsp	ro-sp	2025-05-22T14:19:28Z	
0.1.6	named	org.eclipse.ecsp	ro-sp	2025-05-22T16:13:45Z	
0.1.7	named	org.eclipse.ecsp	ro-sp	2025-05-23T05:56:56Z	
