0.0.1	automatic	software.amazon.smithy.java.codegen.plugins	server	2025-02-06T20:16:23Z	
0.0.2	automatic	software.amazon.smithy.java	server-codegen	2025-04-09T23:13:02Z	
0.0.3	automatic	software.amazon.smithy.java	server-codegen	2025-08-22T16:48:49Z	
