9.1.0			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/gitee/hljdrl/cordova-framework/9.1.0/cordova-framework-9.1.0.jar returned status 404
9.1.0001			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/gitee/hljdrl/cordova-framework/9.1.0001/cordova-framework-9.1.0001.jar returned status 404
9.1.0002			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/gitee/hljdrl/cordova-framework/9.1.0002/cordova-framework-9.1.0002.jar returned status 404
9.1.0003			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/gitee/hljdrl/cordova-framework/9.1.0003/cordova-framework-9.1.0003.jar returned status 404
9.1.0004			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/gitee/hljdrl/cordova-framework/9.1.0004/cordova-framework-9.1.0004.jar returned status 404
9.1.0005			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/gitee/hljdrl/cordova-framework/9.1.0005/cordova-framework-9.1.0005.jar returned status 404
9.1.0006			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/gitee/hljdrl/cordova-framework/9.1.0006/cordova-framework-9.1.0006.jar returned status 404
