0.1			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/davidmoten/odata-client-parent/0.1/odata-client-parent-0.1.jar returned status 404
0.1.1			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/davidmoten/odata-client-parent/0.1.1/odata-client-parent-0.1.1.jar returned status 404
0.1.12			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/davidmoten/odata-client-parent/0.1.12/odata-client-parent-0.1.12.jar returned status 404
0.1.13			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/davidmoten/odata-client-parent/0.1.13/odata-client-parent-0.1.13.jar returned status 404
0.1.14			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/davidmoten/odata-client-parent/0.1.14/odata-client-parent-0.1.14.jar returned status 404
0.1.15			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/davidmoten/odata-client-parent/0.1.15/odata-client-parent-0.1.15.jar returned status 404
0.1.16			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/davidmoten/odata-client-parent/0.1.16/odata-client-parent-0.1.16.jar returned status 404
0.1.17			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/davidmoten/odata-client-parent/0.1.17/odata-client-parent-0.1.17.jar returned status 404
0.1.18			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/davidmoten/odata-client-parent/0.1.18/odata-client-parent-0.1.18.jar returned status 404
0.1.19			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/davidmoten/odata-client-parent/0.1.19/odata-client-parent-0.1.19.jar returned status 404
0.1.2			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/davidmoten/odata-client-parent/0.1.2/odata-client-parent-0.1.2.jar returned status 404
0.1.20			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/davidmoten/odata-client-parent/0.1.20/odata-client-parent-0.1.20.jar returned status 404
0.1.21			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/davidmoten/odata-client-parent/0.1.21/odata-client-parent-0.1.21.jar returned status 404
0.1.22			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/davidmoten/odata-client-parent/0.1.22/odata-client-parent-0.1.22.jar returned status 404
0.1.23			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/davidmoten/odata-client-parent/0.1.23/odata-client-parent-0.1.23.jar returned status 404
0.1.24			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/davidmoten/odata-client-parent/0.1.24/odata-client-parent-0.1.24.jar returned status 404
0.1.25			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/davidmoten/odata-client-parent/0.1.25/odata-client-parent-0.1.25.jar returned status 404
0.1.26			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/davidmoten/odata-client-parent/0.1.26/odata-client-parent-0.1.26.jar returned status 404
0.1.27			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/davidmoten/odata-client-parent/0.1.27/odata-client-parent-0.1.27.jar returned status 404
0.1.28			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/davidmoten/odata-client-parent/0.1.28/odata-client-parent-0.1.28.jar returned status 404
0.1.29			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/davidmoten/odata-client-parent/0.1.29/odata-client-parent-0.1.29.jar returned status 404
0.1.3			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/davidmoten/odata-client-parent/0.1.3/odata-client-parent-0.1.3.jar returned status 404
0.1.30			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/davidmoten/odata-client-parent/0.1.30/odata-client-parent-0.1.30.jar returned status 404
0.1.31			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/davidmoten/odata-client-parent/0.1.31/odata-client-parent-0.1.31.jar returned status 404
0.1.32			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/davidmoten/odata-client-parent/0.1.32/odata-client-parent-0.1.32.jar returned status 404
0.1.34			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/davidmoten/odata-client-parent/0.1.34/odata-client-parent-0.1.34.jar returned status 404
0.1.35			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/davidmoten/odata-client-parent/0.1.35/odata-client-parent-0.1.35.jar returned status 404
0.1.36			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/davidmoten/odata-client-parent/0.1.36/odata-client-parent-0.1.36.jar returned status 404
0.1.37			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/davidmoten/odata-client-parent/0.1.37/odata-client-parent-0.1.37.jar returned status 404
0.1.38			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/davidmoten/odata-client-parent/0.1.38/odata-client-parent-0.1.38.jar returned status 404
0.1.39			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/davidmoten/odata-client-parent/0.1.39/odata-client-parent-0.1.39.jar returned status 404
0.1.4			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/davidmoten/odata-client-parent/0.1.4/odata-client-parent-0.1.4.jar returned status 404
0.1.40			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/davidmoten/odata-client-parent/0.1.40/odata-client-parent-0.1.40.jar returned status 404
0.1.41			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/davidmoten/odata-client-parent/0.1.41/odata-client-parent-0.1.41.jar returned status 404
0.1.42			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/davidmoten/odata-client-parent/0.1.42/odata-client-parent-0.1.42.jar returned status 404
0.1.44			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/davidmoten/odata-client-parent/0.1.44/odata-client-parent-0.1.44.jar returned status 404
0.1.45			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/davidmoten/odata-client-parent/0.1.45/odata-client-parent-0.1.45.jar returned status 404
0.1.46			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/davidmoten/odata-client-parent/0.1.46/odata-client-parent-0.1.46.jar returned status 404
0.1.47			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/davidmoten/odata-client-parent/0.1.47/odata-client-parent-0.1.47.jar returned status 404
0.1.48			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/davidmoten/odata-client-parent/0.1.48/odata-client-parent-0.1.48.jar returned status 404
0.1.49			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/davidmoten/odata-client-parent/0.1.49/odata-client-parent-0.1.49.jar returned status 404
0.1.5			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/davidmoten/odata-client-parent/0.1.5/odata-client-parent-0.1.5.jar returned status 404
0.1.51			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/davidmoten/odata-client-parent/0.1.51/odata-client-parent-0.1.51.jar returned status 404
0.1.52			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/davidmoten/odata-client-parent/0.1.52/odata-client-parent-0.1.52.jar returned status 404
0.1.53			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/davidmoten/odata-client-parent/0.1.53/odata-client-parent-0.1.53.jar returned status 404
0.1.54			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/github/davidmoten/odata-client-parent/0.1.54/odata-client-parent-0.1.54.jar returned status 404
