0.5.0	named	com.github.gv2011	gsoncore	2019-07-10T10:41:51Z	0.5.0
0.6	named	com.github.gv2011	gsoncore	2020-12-29T13:24:17Z	0.6
0.8	named	com.github.gv2011	gsoncore	2021-01-25T21:17:30Z	0.8
0.9	named	com.github.gv2011	gsoncore-old	2021-03-28T12:07:09Z	0.9
