org.junit.jupiter	allowed
com.adobe.cq	blocked
com.gemecosystem.gemjar	blocked
com.github.marschall	blocked
com.hsbc.engineering	blocked
com.uchicom	blocked
io.anura	blocked
io.github.dscpsyl	blocked
io.github.jgrade2	blocked
org.caseine	blocked
