2.10.0	named	org.apache.commons	commons-vfs2	2025-02-02T21:06:22Z	2.10.0
0.22.0	named	io.kestra.plugin	plugin-fs	2025-04-01T09:59:39Z	2.10.0
0.23.0	named	io.kestra.plugin	plugin-fs	2025-06-17T12:09:24Z	2.10.0
0.23.1	named	io.kestra.plugin	plugin-fs	2025-07-10T12:53:46Z	2.10.0
0.24.0	named	io.kestra.plugin	plugin-fs	2025-08-05T13:03:42Z	2.10.0
