1.6.1	automatic	jakarta.security.jacc	jakarta.security.jacc-api	2019-01-09T23:24:12Z	
1.5.0	automatic	jakarta.authorization	jakarta.authorization-api	2019-08-22T23:50:50Z	
2.0.0.CR1	automatic	org.jboss.spec.javax.security.jacc	jboss-jacc-api_1.5_spec	2019-08-27T12:13:32Z	
2.0.0.CR2	automatic	org.jboss.spec.javax.security.jacc	jboss-jacc-api_1.5_spec	2019-08-30T15:06:58Z	
2.0.0.CR3	automatic	org.jboss.spec.javax.security.jacc	jboss-jacc-api_1.5_spec	2019-09-02T10:37:03Z	
2.0.0.Final	automatic	org.jboss.spec.javax.security.jacc	jboss-jacc-api_1.5_spec	2019-09-12T11:31:16Z	
2.0.0-RC1	automatic	jakarta.authorization	jakarta.authorization-api	2020-02-13T17:48:44Z	
