1.0		2016-03-07T22:41:45Z	
1.0.1		2016-03-24T12:32:43Z	
1.0.2		2016-04-06T19:40:03Z	
1.0.3		2016-04-08T19:50:06Z	
1.0.4		2016-04-13T16:30:34Z	
1.0.5		2016-04-21T21:01:48Z	
1.1.0		2016-04-28T15:08:05Z	
1.1.1		2016-05-31T14:05:49Z	
1.1.10		2016-07-07T15:28:44Z	
1.1.11		2016-07-21T19:53:26Z	
1.1.12		2016-07-27T15:23:48Z	
1.1.13		2016-08-04T14:12:29Z	
1.1.14		2016-08-17T16:17:05Z	
1.1.15		2016-08-19T13:40:01Z	
1.1.16		2016-09-01T12:27:00Z	
1.1.17		2016-09-06T17:04:38Z	
1.1.18		2016-09-08T20:53:27Z	
1.1.19		2016-09-19T16:02:42Z	
1.1.2		2016-05-31T18:21:11Z	
1.1.20		2016-09-22T15:49:05Z	
1.1.21		2016-10-12T13:24:13Z	
1.1.22		2016-10-12T18:47:00Z	
1.1.23		2016-10-25T19:10:17Z	
1.1.24		2016-11-03T16:15:20Z	
1.1.25		2016-11-03T19:07:01Z	
1.1.26		2016-11-07T18:49:58Z	
1.1.3		2016-06-01T13:28:19Z	
1.1.4		2016-06-01T18:28:28Z	
1.1.5		2016-06-02T16:13:18Z	
1.1.6		2016-06-03T14:50:16Z	
1.1.7		2016-06-03T18:07:06Z	
1.1.8		2016-06-08T20:13:26Z	
1.1.9		2016-06-09T21:36:57Z	
1.2.0		2016-12-06T16:36:22Z	
1.2.1		2016-12-12T17:16:36Z	
1.2.10		2017-05-08T18:51:43Z	
1.2.11		2017-06-26T14:17:53Z	
1.2.12		2017-07-10T18:14:13Z	
1.2.13		2017-07-14T19:49:46Z	
1.2.14		2017-08-02T20:52:40Z	
1.2.15		2017-09-26T14:32:16Z	
1.2.16		2017-11-14T19:12:00Z	
1.2.17		2017-11-15T20:18:26Z	
1.2.18		2017-11-16T18:39:26Z	
1.2.19		2017-11-20T18:38:37Z	
1.2.2		2016-12-30T14:13:54Z	
1.2.20		2017-11-22T18:19:19Z	
1.2.21		2017-11-27T19:50:16Z	
1.2.22		2017-11-28T19:27:40Z	
1.2.23		2017-12-05T18:18:43Z	
1.2.24		2017-12-14T21:15:53Z	
1.2.25		2018-01-26T14:46:35Z	
1.2.26		2018-01-26T17:34:45Z	
1.2.27		2018-01-29T15:19:39Z	
1.2.28		2018-02-14T20:39:56Z	
1.2.29		2018-02-22T14:31:22Z	
1.2.3		2017-01-10T18:33:33Z	
1.2.30		2018-02-28T16:20:53Z	
1.2.31		2018-03-13T20:30:54Z	
1.2.32		2018-03-16T15:19:19Z	
1.2.33		2018-03-28T15:10:22Z	
1.2.34		2018-05-25T14:11:25Z	
1.2.35		2018-06-06T18:32:25Z	
1.2.36		2018-07-03T20:06:55Z	
1.2.37		2018-07-18T19:49:04Z	
1.2.38		2018-07-27T17:17:27Z	
1.2.39		2018-08-14T19:35:28Z	
1.2.4		2017-01-25T14:59:16Z	
1.2.4.1		2017-01-26T23:11:46Z	
1.2.4.2		2017-02-23T21:01:55Z	
1.2.4.3		2017-03-01T20:53:41Z	
1.2.40		2018-08-31T15:31:55Z	
1.2.41		2018-10-19T21:49:43Z	
1.2.42		2018-10-31T16:46:44Z	
1.2.43		2018-10-31T19:49:53Z	
1.2.44		2018-11-19T15:30:12Z	
1.2.45		2019-01-09T00:27:17Z	
1.2.46		2019-04-30T17:05:26Z	
1.2.47		2019-04-30T17:26:19Z	
1.2.48		2019-04-30T17:51:45Z	
1.2.49		2020-01-07T16:52:05Z	
1.2.5		2017-03-21T21:01:07Z	
1.2.50		2020-01-31T19:31:20Z	
1.2.51		2020-02-05T15:43:34Z	
1.2.52		2020-02-06T18:19:32Z	
1.2.53		2020-02-10T17:23:34Z	
1.2.54		2020-03-20T16:28:06Z	
1.2.55		2020-04-01T13:21:45Z	
1.2.6		2017-03-30T12:07:12Z	
1.2.7		2017-04-11T18:03:40Z	
1.2.8		2017-04-20T20:24:38Z	
1.2.9		2017-04-27T12:45:21Z	
1.3.0		2020-04-13T19:33:34Z	
1.3.1		2020-04-17T12:50:47Z	
1.3.2		2020-04-24T14:24:46Z	
1.3.3		2020-04-28T07:38:21Z	
1.3.4		2020-05-05T23:52:42Z	
1.3.5		2020-05-08T09:35:06Z	
1.3.6		2020-05-27T08:42:39Z	
1.4.0		2020-05-27T16:50:21Z	
1.4.1		2020-06-09T21:19:12Z	
1.4.10		2020-09-30T14:44:36Z	
1.4.11		2020-10-07T13:44:31Z	
1.4.12		2020-10-09T14:58:02Z	
1.4.13		2020-10-12T16:45:34Z	
1.4.14		2020-10-13T17:51:59Z	
1.4.15		2020-10-15T14:20:09Z	
1.4.16		2020-10-18T02:18:20Z	
1.4.17		2020-10-19T10:03:42Z	
1.4.18		2020-10-22T15:46:04Z	
1.4.19		2020-11-04T17:47:04Z	
1.4.2		2020-06-15T16:38:55Z	
1.4.20		2020-11-15T03:32:58Z	
1.4.21		2020-11-26T09:45:45Z	
1.4.22		2021-01-07T14:23:39Z	
1.4.23		2021-02-16T19:40:53Z	
1.4.24		2021-03-09T15:49:57Z	
1.4.25		2021-03-26T15:26:42Z	
1.4.26		2021-07-30T17:46:55Z	
1.4.27		2021-09-22T15:53:48Z	
1.4.28		2021-10-14T21:06:17Z	
1.4.29		2021-10-25T17:46:18Z	
1.4.3		2020-07-13T17:00:33Z	
1.4.30		2021-10-27T20:29:02Z	
1.4.31		2021-10-29T19:44:44Z	
1.4.32		2022-01-24T19:29:06Z	
1.4.33		2022-01-27T14:17:36Z	
1.4.34		2022-02-25T13:17:23Z	
1.4.36		2022-03-15T11:55:07Z	
1.4.37		2022-04-18T14:32:28Z	
1.4.38		2022-04-28T13:04:13Z	
1.4.39		2022-05-09T14:32:11Z	
1.4.4		2020-07-22T14:22:34Z	
1.4.40		2022-05-16T17:57:07Z	
1.4.41		2022-05-18T10:18:20Z	
1.4.42		2022-05-23T15:37:23Z	
1.4.43		2022-05-27T16:56:42Z	
1.4.44		2022-06-01T17:51:06Z	
1.4.45		2022-06-15T18:04:57Z	
1.4.46		2022-07-22T14:28:36Z	
1.4.47		2022-10-06T20:22:47Z	
1.4.48		2022-10-31T10:14:13Z	
1.4.49		2022-11-07T16:13:16Z	
1.4.5		2020-08-13T19:43:56Z	
1.4.50		2022-12-09T16:33:30Z	
1.4.51		2023-01-03T14:49:37Z	
1.4.52		2023-01-12T16:25:25Z	
1.4.53		2023-01-20T17:07:49Z	
