com.fasterxml.jackson.module	allowed
ch.exense.step	rejected
ch.exense.step.library	rejected
com.datadoghq	rejected
com.docusign	rejected
com.fujitsu.launcher	rejected
com.icegreen	rejected
com.instaclustr	rejected
com.salesforce.multicloudj	rejected
com.sap.scimono	rejected
de.ipk-gatersleben	rejected
io.bdeploy	rejected
io.streamthoughts	rejected
it.vige.cities	rejected
org.eclipse.dataspaceconnector	rejected
org.eclipse.edc	rejected
org.glassfish.main.jackson.module	rejected
video.bug	rejected
