0.2.1-alpha			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/dock2dock/honeywell/0.2.1-alpha/honeywell-0.2.1-alpha.jar returned status 404
0.2.21			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/dock2dock/honeywell/0.2.21/honeywell-0.2.21.jar returned status 404
0.2.22			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/dock2dock/honeywell/0.2.22/honeywell-0.2.22.jar returned status 404
0.2.25			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/dock2dock/honeywell/0.2.25/honeywell-0.2.25.jar returned status 404
